Name,IsFirstName,IsLastName,Occurance
A.J.,1,0,8
Aamir,1,0,1
Aaron,0,1,1
Aaron,1,0,13
Abayomi,1,0,1
Abba,1,0,1
Abdou,1,0,1
Abdoulaye,1,0,1
Abdul,1,0,3
Abdullah,0,1,2
Abdulsalam,0,1,1
Abdur,0,1,1
Abu,1,0,1
Achiuwa,0,1,1
Acquaah,0,1,1
Acuff,0,1,1
Acunzo,0,1,1
Adam,1,0,5
Adams,0,1,1
Adaway,0,1,1
Addison,1,0,1
Adebayo,0,1,1
Adel,0,1,1
Adelsperger,0,1,1
Adewunmi,0,1,1
Adger,0,1,1
Adheke,0,1,1
Admiral,1,0,1
Admon,1,0,1
Ado,0,1,1
Adonis,1,0,1
Adonys,1,0,1
Adrease,1,0,1
Adrian,1,0,1
Adrien,1,0,1
Adrio,1,0,1
Aflakpui,0,1,1
Agau,0,1,1
Agba,0,1,1
Agbaji,0,1,1
Agbo,0,1,1
Agbonkpolo,0,1,1
Agosto,0,1,1
Aguir,1,0,1
Agunanne,0,1,1
Ahmaad,1,0,1
Ahmad,0,1,1
Ahmad,1,0,3
Ahmed,1,0,1
Ahrens,0,1,2
Ahron,1,0,1
Aidan,1,0,1
Aiken,0,1,2
AJ,1,0,3
Ajang,0,1,1
Ajayi,0,1,1
Ajiri,1,0,1
Ajogbor,0,1,1
Akabueze,0,1,1
Akanno,0,1,1
Akec,0,1,1
Akenten,0,1,1
Akingbola,0,1,1
Akinjo,0,1,1
Ako,1,0,1
Akok,0,1,1
Akok,1,0,1
Akol,1,0,1
Akot,0,1,1
Akowovo,0,1,1
Aku,0,1,1
Al,1,0,1
Al-Amir,1,0,1
Alan,1,0,1
Alani,1,0,1
Alanzo,1,0,1
Alberts,0,1,1
Aldridge,0,1,1
Alec,1,0,2
Aleem,1,0,1
Alex,1,0,13
Alexander,0,1,1
Alexis,1,0,1
Alfred,1,0,1
Algevon,1,0,1
Ali,0,1,1
Ali Abdur,0,1,1
Alibegovic,0,1,1
Alize,1,0,1
Aljami,1,0,1
Alkins,0,1,1
Allante,1,0,1
Allen,0,1,1
Allen,1,0,1
Alley,0,1,1
Allonzo,1,0,1
Allsmiller,0,1,1
Alonzo,1,0,3
Alou,1,0,1
Alpha,1,0,1
Alphonso,1,0,1
Alston,0,1,1
Alterique,1,0,1
Alvarado,0,1,1
Alvarez,0,1,1
Alyn,1,0,1
Amadou,1,0,1
Amaefule,0,1,1
Amani,1,0,1
Amanze,1,0,2
Amari,1,0,1
Amarveer,1,0,1
Amauri,1,0,1
Ambrose,0,1,1
Amir,1,0,3
Amound,1,0,1
Anas,1,0,1
Anders,1,0,1
Anderson,0,1,1
Anderson,1,0,1
Andre,1,0,10
Andreas,1,0,1
Andres,1,0,1
Andrew,0,1,1
Andrew,1,0,8
Andrews,0,1,2
Anei,0,1,1
Anfernee,1,0,2
Angel,1,0,1
Anigbogu,0,1,1
Anim,0,1,1
Antavion,1,0,1
Antetokounmpo,0,1,1
Anthony,0,1,2
Anthony,1,0,21
Anticevich,0,1,1
Antoine,0,1,1
Antoine,1,0,1
Anton,1,0,2
Antonio,1,0,4
Antwan,1,0,5
Antwann,1,0,1
Anunoby,0,1,2
Anwar,1,0,1
Anyang,1,0,1
April,0,1,1
Ar'Mond,1,0,1
Arashma,1,0,1
Archie,0,1,1
Arcidiacono,0,1,1
Aric,1,0,1
Arinze,1,0,1
Aristide,1,0,1
Arlauskas,0,1,1
Armaan,1,0,1
Armando,1,0,1
Armani,1,0,1
Armoni,1,0,1
Armstrong,0,1,1
Arnaldo,1,0,1
Arnold,0,1,1
Arogundade,0,1,1
Arop,0,1,1
Artison,0,1,1
Asa,1,0,2
Asante,1,0,1
Asanti,1,0,1
Ash,0,1,1
Ashton,0,1,1
Ashton,1,0,1
Assane,1,0,1
Atkinson,0,1,1
Atson,0,1,1
Au'Diese,1,0,1
Aubrey,1,0,1
Audige,0,1,1
August,1,0,1
Augustin,0,1,1
Austin,0,1,4
Austin,1,0,15
Avea,0,1,1
Averette,0,1,1
Avery,0,1,1
Avery,1,0,4
Ayah,0,1,1
Ayala,0,1,1
Ayo,1,0,1
Ayton,0,1,1
Azubuike,0,1,1
B.J.,1,0,4
Babatunde,1,0,1
Babb,0,1,1
Bacon,0,1,1
Bacot,0,1,1
Baddley,0,1,1
Badocchi,0,1,1
Bagley,0,1,2
Bailey,0,1,6
Bain,0,1,2
Bajema,0,1,1
Bakari,1,0,1
Bakary,1,0,1
Baker,0,1,8
Baldwin,0,1,5
Ball,0,1,3
Ballard,0,1,1
Ballo,0,1,1
Ballock,0,1,1
Balsa,1,0,2
Bam,1,0,1
Bamba,0,1,1
Bamisile,0,1,1
Banks,0,1,5
Banton,0,1,1
Baptiste,0,1,1
Bar,0,1,1
Barber,0,1,1
Barcello,0,1,1
Barefield,0,1,1
Barford,0,1,1
Barkley,0,1,2
Barlow,0,1,1
Barnes,0,1,1
Barnett,0,1,1
Barret,1,0,1
Barrett,0,1,1
Barry,0,1,1
Barry,1,0,1
Barthelemy,0,1,1
Bartley,0,1,1
Baruti,0,1,1
Bas,1,0,1
Bassett,0,1,1
Bassey,0,1,2
Bates,0,1,1
Battey,0,1,1
Battin,0,1,1
Battle,0,1,3
Batts,0,1,1
Baucum,0,1,1
Baugh,0,1,1
Baumann,0,1,1
Baxter,0,1,2
Bayron,1,0,1
Bazley,0,1,1
Beane,0,1,2
Bear,1,0,1
Beard,0,1,2
Bearden,0,1,1
Beasley,0,1,2
Beatty,0,1,1
Beauchamp,0,1,1
Beaufort,0,1,1
Beck,0,1,1
Bede,0,1,1
Bediako,0,1,1
Beekman,0,1,1
Bell,0,1,3
Belquist,0,1,1
Belt,0,1,1
Ben,1,0,7
Bender,0,1,1
Benjamin,0,1,1
Benjamin,1,0,1
Benkert,0,1,1
Benlevi,0,1,1
Bennett,0,1,2
Bennie,1,0,2
Benson,0,1,2
Bentil,0,1,1
Beran,0,1,1
BeReal,0,1,1
Bernard,0,1,1
Bernard,1,0,1
Bernardo,1,0,1
Berrick,1,0,1
Berry,0,1,3
Bertolette,0,1,1
Bertram,0,1,1
Berwick,0,1,1
Bess,0,1,1
Beverly,0,1,2
Bey,0,1,3
Bezhanishvili,0,1,1
Bibbins,0,1,1
Bibbs,0,1,1
Bibby,0,1,1
Bickerstaff,0,1,1
Bickham,0,1,1
Bieniemy,0,1,1
Bijiek,0,1,1
Billy,1,0,2
Bingham,0,1,1
Bishop,0,1,4
Bishop,1,0,1
Bitumba,1,0,1
Bizeau,0,1,1
Black,0,1,3
Blackmon,0,1,1
Blackshear Jr,0,1,1
Blacksher,0,1,1
Blackwell,0,1,2
Blair,0,1,2
Blaise,1,0,1
Blake,0,1,1
Blake,1,0,4
Blakeney,0,1,1
Blakney,0,1,1
Blanton,0,1,1
Blount,0,1,1
Bluiett,0,1,1
Blumbergs,0,1,1
Bo,1,0,1
Boatwright,0,1,3
Bobby,1,0,1
Boeheim,0,1,1
Bohannon,0,1,1
Bol,0,1,1
Bol,1,0,2
Bol Ajak,0,1,1
Bolden,0,1,4
Bolton,0,1,1
Bonds,0,1,2
Bone,0,1,1
Bonner,0,1,1
Bonton,0,1,1
Bonzie,1,0,1
Boogie,1,0,1
Booker,0,1,1
Boone,0,1,3
Booth,0,1,1
Bostick,0,1,1
Boston,0,1,1
Both,1,0,1
Boubacar,1,0,3
Boucher,0,1,1
Boudreaux,0,1,1
Bouknight,0,1,1
Boum,0,1,1
Bourama,1,0,1
Bowden,0,1,1
Bowen,0,1,1
Bowie,0,1,1
Bowling,0,1,1
Bowman,0,1,2
Bowser,0,1,1
Boya,0,1,1
Boyce,0,1,1
Boyd,0,1,4
Boykins,0,1,2
Bracey,0,1,1
Brachen,1,0,1
Brad,1,0,2
Braden,1,0,1
Bradford,0,1,1
Bradley,0,1,2
Bradley,1,0,2
Bradshaw,0,1,1
Brady,1,0,5
Bragg,0,1,1
Brailen,1,0,1
Brajkovic,0,1,1
Brakefield,0,1,1
Braley,0,1,1
Branden,1,0,1
Brandon,1,0,27
Brandone,1,0,1
Brantly,1,0,1
Braswell,0,1,1
Braun,0,1,2
Braxton,1,0,6
Brayboy,0,1,1
Brazdeikis,0,1,1
Brechting,0,1,1
Breed,0,1,1
Breein,1,0,1
Brekkott,1,0,1
Brenchley,0,1,1
Brendan,1,0,3
Brenden,1,0,1
Brennan,0,1,1
Brennan,1,0,1
Brent,0,1,1
Brett,1,0,1
Brevin,1,0,1
Brewer,0,1,2
Brian,1,0,3
Brice,0,1,2
Brice,1,0,1
Bridges,0,1,4
Briggs,0,1,1
Brion,1,0,1
Brisco,0,1,1
Briscoe,0,1,1
Brison,1,0,1
Brissett,0,1,1
Broadnax,0,1,1
Brock,1,0,5
Broddie,0,1,1
Brodeur,0,1,1
Brodie,0,1,1
Brodricks,1,0,1
Bronson,1,0,1
Brookins,0,1,1
Brooks,0,1,8
Broughton,0,1,1
Brown,0,1,32
Bruce,0,1,1
Bruce,1,0,2
Bruner,0,1,2
Brunk,0,1,1
Bruno,1,0,1
Brunson,0,1,1
Bryan,1,0,5
Bryant,0,1,3
Bryant,1,0,2
Bryce,1,0,15
Brycen,1,0,1
Bryson,1,0,1
Buay,1,0,1
Buckingham,0,1,1
Buddy,1,0,1
Buffen,0,1,1
Buford,0,1,1
Buggs,0,1,1
Buie,0,1,2
Bujdoso,0,1,1
Bul,1,0,1
Bullock,0,1,1
Bumbalough,0,1,1
Bunch,0,1,1
Bunting,0,1,1
Burgess,0,1,1
Burkhart,0,1,1
Burnett,0,1,3
Burnette,0,1,1
Burns,0,1,2
Burrell,0,1,2
Burton,0,1,3
Butler,0,1,4
Buttrick,0,1,1
Butts,0,1,2
Butz,0,1,1
Bye,0,1,1
Bynum,0,1,1
Byrd,0,1,1
C.J.,1,0,10
Cade,1,0,2
Caffaro,0,1,1
Cage,0,1,1
Cain,0,1,2
Calcaterra,0,1,1
Caldwell,0,1,3
Cale,0,1,1
Caleb,1,0,15
Calhoun,0,1,1
Calip,0,1,1
Calixte,0,1,1
Calloo,0,1,1
Calvin,1,0,1
Cam,1,0,1
Cam'Ron,1,0,1
Camara,0,1,1
Cameron,0,1,2
Cameron,1,0,16
Campbell,0,1,4
Camron,1,0,1
Cannady,0,1,1
Caraher,0,1,1
Cardwell,0,1,1
Carey,0,1,2
Carl,1,0,1
Carlisle,0,1,1
Carlo,1,0,1
Carlos,0,1,1
Carlos,1,0,4
Carlson,0,1,2
Carlton,0,1,1
Carlton,1,0,1
Carmichael,0,1,1
Carmody,0,1,1
Carr,0,1,4
Carriere,0,1,1
Carrington,0,1,1
Carrington,1,0,1
Carry,0,1,1
Carsen,1,0,1
Carson,1,0,2
Carte'Are,1,0,1
Carter,0,1,11
Carter,1,0,1
Cartier,1,0,1
Carton,0,1,1
Cartwright,0,1,2
Carvacho,0,1,1
Carver,0,1,1
Casey,1,0,4
Cashaw,0,1,1
Cashius,1,0,1
Cassius,1,0,2
Castaneda,0,1,1
Castleton,0,1,1
Catchings,0,1,1
Catto,0,1,1
Cedric,1,0,1
Cedrick,1,0,1
Cekovsky,0,1,1
Chad,1,0,3
Chai,1,0,1
Chambers,0,1,6
Champagnie,0,1,1
Chance,1,0,3
Chandler,0,1,1
Chandler,1,0,4
Chaney,0,1,1
Chang,0,1,1
Chanse,1,0,1
Chaplin,0,1,1
Chapman,0,1,1
Chappell,0,1,1
Char Chuol,0,1,1
Chargois,0,1,1
Charles,0,1,1
Charles,1,0,7
Charlie,1,0,2
Charvon,1,0,1
Chase,1,0,6
Chatfield,0,1,1
Chatman,0,1,2
Chauca,0,1,1
Chauncey,1,0,1
Chaundee,1,0,1
Chaz,1,0,1
Che,1,0,1
Cheatham,0,1,2
Cheick,1,0,1
Cheickna,1,0,2
Cheikh,1,0,1
Cherry,0,1,1
Chibuzo,1,0,1
Chidom,0,1,1
Childress,0,1,1
Childs,0,1,1
Chimezie,1,0,2
Chinanu,1,0,1
Chiozza,0,1,1
Chol,1,0,1
Chris,1,0,33
Chriss,0,1,1
Christ,1,0,1
Christian,1,0,23
Christion,1,0,1
Christmas,0,1,1
Christopher,0,1,1
Chuba,1,0,1
Chuck,1,0,1
Chukwu,0,1,1
Chukwuebuka,1,0,1
Chuma,1,0,1
Church,0,1,1
Chyree,1,0,1
Ciaran,1,0,1
Cimino,0,1,1
CJ,1,0,5
Clarance,0,1,1
Clarence,0,1,1
Clareth,0,1,1
Clark,0,1,7
Clarke,0,1,2
Clashon,1,0,1
Claxton,0,1,1
Clayton,0,1,1
Clayton,1,0,2
Clergeot,0,1,1
Clerkley,0,1,1
Clevon,1,0,1
Cliff,1,0,1
Clifford,1,0,1
Clifton,1,0,1
Cline,0,1,1
Clover,0,1,1
Clyde,1,0,1
Cobb,0,1,2
Cobie,1,0,1
Coby,1,0,1
Cochran,0,1,1
Cockburn,0,1,1
Cody,1,0,4
Cofer,0,1,1
Coffey,0,1,1
Cohen,0,1,1
Cohill,0,1,1
Cokley,0,1,1
Colbey,1,0,1
Colby,1,0,1
Cole,0,1,2
Cole,1,0,4
Coleman,0,1,2
Coleman,1,0,1
Coles,0,1,1
Colimerio,0,1,1
Colin,1,0,2
Colley,0,1,1
Collier,0,1,2
Collin,1,0,4
Collins,0,1,7
Collinsworth,0,1,1
Collum,0,1,1
Colson,0,1,1
Colton,1,0,1
Comanche,0,1,1
Commander,0,1,1
Conditt,0,1,1
Cone,0,1,1
Conley,0,1,1
Connor,1,0,8
Conway,0,1,1
Cook,0,1,4
Cooper,0,1,3
Cooper,1,0,2
Copeland,0,1,1
Corbin,0,1,1
Cordell,1,0,1
Corey,1,0,7
Cormac,1,0,1
Cornish,0,1,1
Corprew,0,1,1
Cosby,0,1,1
Cotton,0,1,1
Cottrell,0,1,1
Couisnard,0,1,1
Coulibaly,0,1,2
Council,0,1,1
Council IV,0,1,1
Coupet,0,1,1
Courtney,1,0,2
Cousinard,0,1,1
Covington,0,1,1
Cowan,0,1,2
Cox,0,1,1
Cozart,0,1,1
Crabtree,0,1,1
Craig,0,1,1
Craig,1,0,3
Cramer,0,1,1
Crawford,0,1,1
Crisler,0,1,1
Crisp,0,1,1
Crockrell,0,1,1
Crosby,0,1,2
Cross,0,1,2
Crouch,0,1,1
Crowe,0,1,1
Crowfield,0,1,1
Crowley,0,1,1
Crump,0,1,1
Crutcher,0,1,1
Crutchfield,0,1,1
Crute,0,1,1
Cryer,0,1,1
Cudd,0,1,1
Cullen,1,0,1
Culver,0,1,2
Cumberland,0,1,1
Cummings,0,1,1
Cunliffe,0,1,1
Cunningham,0,1,4
Curbelo,0,1,1
Currie,0,1,3
Curry,0,1,4
Curtis,0,1,2
Curtis,1,0,5
Custer,0,1,1
Cuyler,1,0,1
Cylla,0,1,1
Cyril,1,0,1
Cyrus,0,1,1
D.J.,1,0,10
D'Andre,1,0,2
D'Angelo,1,0,2
D'Marco,1,0,1
D'Marcus,1,0,1
D'Mitrik,1,0,1
D'Shawn,1,0,1
Da Silva,0,1,3
Da'Monte,1,0,1
Daejon,1,0,1
Daeshon,1,0,1
Dahl,0,1,1
Dahmir,1,0,1
Dailey,0,1,1
Dain,1,0,1
Dainja,0,1,1
Daishen,1,0,1
Dajour,1,0,2
Dajuan,1,0,1
DaJuan,1,0,1
Dakota,1,0,4
Dalano,1,0,1
Dalen,1,0,1
Dallas,0,1,1
Dallion,1,0,1
Dalton,0,1,1
Dalton,1,0,3
Damari,1,0,2
Damerius,1,0,1
Damezi,1,0,1
Damian,1,0,1
Damien,1,0,1
Damion,1,0,2
Damiyne,1,0,1
Damon,1,0,2
Damontrae,1,0,1
Dan,1,0,1
Dana,1,0,1
Dandridge,0,1,1
Dane,1,0,2
Daniel,1,0,9
Daniels,0,1,3
Daniil,1,0,1
Danjel,1,0,1
Danny,1,0,1
Dante,0,1,1
Dante,1,0,4
Dantez,1,0,1
Daouda,1,0,1
Daquan,1,0,1
DaQuan,1,0,1
Darian,1,0,1
Darien,1,0,1
Darin,1,0,1
Darion,1,0,1
Darious,1,0,1
Darius,1,0,14
Darling,0,1,1
Darlinstone,1,0,1
Darnell,1,0,2
Daron,1,0,2
Darrell,1,0,2
Darren,1,0,1
Darrian,1,0,1
Darrick,1,0,1
Darron,1,0,1
Darryl,1,0,1
DaShawn,1,0,1
Dashawn,1,0,1
Dastrup,0,1,1
Datcher,0,1,1
Davaris,1,0,1
Dave,1,0,1
Davell,1,0,1
David,0,1,1
David,1,0,20
Davide,1,0,1
Davion,1,0,3
Davis,0,1,1
Davison,0,1,1
Davon,1,0,1
Davontae,1,0,1
Davonte,1,0,2
Dawes,0,1,1
Dawkins,0,1,1
Dawson,0,1,1
Dawson,1,0,1
Daxter,1,0,1
Day,0,1,1
Day'Ron,1,0,1
Daylen,1,0,1
Days,0,1,2
Dayten,1,0,1
Dazon,1,0,1
De La Rosa,0,1,1
De Sousa,0,1,1
De'Aaron,1,0,1
De'Andre,1,0,1
De'Anthony,1,0,1
De'Monte,1,0,1
De'Riante,1,0,1
De'Ron,1,0,1
De'Sean,1,0,1
De'Vion,1,0,1
De'Vondre,1,0,1
Dean,0,1,1
Dean,1,0,1
DeAndre,1,0,2
Deandre,1,0,2
DeAngelo,1,0,1
DeAntoni,1,0,1
Dearon,1,0,1
DeAundrae,1,0,1
Deavion,1,0,1
DeBerry,0,1,1
Decardo,1,0,1
Dedric,1,0,2
DeGray,0,1,1
Deion,1,0,1
Deividas,1,0,1
Deivon,1,0,1
Dejan,1,0,1
DeJon,1,0,1
Dejounte,1,0,1
DeJulius,0,1,1
Delaire,0,1,1
Delaney,0,1,1
Delante,1,0,1
DeLaurier,0,1,1
Delgado,0,1,1
Deloach,0,1,1
Deloney,0,1,1
Delonte,1,0,1
Delshon,1,0,2
Demarius,1,0,1
Demarr,1,0,1
Dembele,0,1,1
Demery,0,1,1
Demetrius,1,0,3
Demuth,0,1,1
Deng,0,1,1
Deng,1,0,3
Denis,1,0,1
Dennis,0,1,1
Dennis,1,0,1
Deontay,1,0,1
Derek,1,0,4
Dereon,1,0,1
Dererk,1,0,1
Derric,1,0,1
Derrick,1,0,8
Derrickson,0,1,1
Derrik,1,0,1
Derryck,1,0,1
Deschon,1,0,1
DeShang,1,0,1
DeShaun,1,0,1
Deshawn,1,0,1
Desi,1,0,2
Desmond,1,0,1
Desrosiers,0,1,1
Desure,1,0,1
Detrick,1,0,1
Deuce,1,0,1
Devante,1,0,2
Devearl,1,0,1
Develle,1,0,1
Devenir,1,0,1
Devin,1,0,10
Devoe,0,1,1
DeVoe,0,1,1
Devon,1,0,6
Devonaire,1,0,1
Devontae,1,0,1
Devonte,1,0,5
Dew,0,1,1
Dewan,1,0,1
Dexter,1,0,2
Deyonta,1,0,1
Dhamir,1,0,1
Diagne,0,1,1
Diakite,0,1,2
Diallo,0,1,7
Diamond,1,0,1
Diane,0,1,2
Diante,1,0,2
Diarra,0,1,4
Diawara,0,1,1
Dickens,0,1,1
Dickerson,0,1,1
Dickinson,0,1,1
Diedhiou,0,1,1
Diener,0,1,1
Dieonte,1,0,1
Dike,0,1,1
Dikembe,1,0,1
Dikymbe,1,0,1
Dillard,0,1,2
Dillon,0,1,1
Dillon,1,0,2
Dima,1,0,1
Dimencio,1,0,1
Dimingus,1,0,1
Dinero,1,0,1
Dinsmore,0,1,1
Dinwiddie,0,1,1
Dion,1,0,1
Diontae,1,0,1
Diouf,0,1,1
Dishon,1,0,1
Disu,0,1,1
DiVincenzo,0,1,1
Dixon,0,1,1
Dixson,0,1,1
DJ,1,0,7
Djery,1,0,1
Djogo,0,1,1
Djonkam,0,1,1
Djuan,1,0,1
Dmitri,1,0,1
Doakes,0,1,1
Doby,0,1,1
Doc,1,0,1
Dockery,0,1,1
Doherty,0,1,2
Dolezaj,0,1,1
Dom,1,0,1
Domantas,1,0,1
Domask,0,1,1
Dominic,1,0,3
Dominick,1,0,1
Dominiq,1,0,1
Dominique,1,0,2
Donald,1,0,1
Donaldson,0,1,1
Donatas,1,0,1
Donaven,1,0,1
Dondre,1,0,1
Donnie,1,0,1
Donovan,1,0,8
Donovann,1,0,1
Donta,1,0,2
Dontaie,1,0,1
Dontarius,1,0,1
Dontay,1,0,1
Donte,1,0,4
Doolittle,0,1,1
Doomes,0,1,1
Doorson,0,1,1
Doral,1,0,1
Dorian,1,0,1
Dorn,0,1,1
Dorsey,0,1,4
Dort,0,1,1
Dos Anjos,0,1,1
Dosunmu,0,1,1
Dotson,0,1,1
Doucoure,0,1,1
Doughty,0,1,1
Douglas,0,1,2
Doumbia,0,1,1
Doutrive,0,1,2
Dowtin,0,1,1
Dowuona,0,1,2
Doyle,0,1,1
Dozier,0,1,1
