Team,Rival 1,Rival 2,Rival 3,Rival 4,Rival 5,Rival 6,Rival 7,Rival 8,
Air Force,Army,Colorado State,Hawai'i,Navy,,,,,
Akron,Kent State,,,,,,,,
Alabama,Auburn,Florida,LSU,Mississippi State,Ole Miss,Tennessee,,,
Arizona,Arizona State,New Mexico,,,,,,,
Arizona State,Arizona,,,,,,,,
Arkansas,LSU,Ole Miss,Texas,Texas A&M,,,,,
Arkansas State,North Texas,ULM,,,,,,,
Army,Air Force,Navy,Rutgers,Notre Dame,,,,,
Auburn,Alabama,Georgia,LSU,,,,,,
Ball State,Northern Illinois,,,,,,,,
Baylor,TCU,Texas,Texas A&M,Texas Tech,,,,,
Boise State,BYU,Fresno State,Hawai'i,Idaho,Nevada,TCU,,,
Boston College,Clemson,Miami,Notre Dame,Syracuse,UMass,Virginia Tech,,,
Bowling Green,Kent State,Toledo,,,,,,,
Buffalo,Syracuse,Temple,,,,,,,
BYU,Boise State,Hawai'i,San Diego State,Utah,Utah State,,,,
California,Stanford,UCLA,USC,,,,,,
Central Michigan,Eastern Michigan,Western Michigan,,,,,,,
Cincinnati,Louisville,Miami (OH),Pittsburgh,,,,,,
Clemson,Boston College,Florida State,Georgia,Georgia Tech,NC State,South Carolina,,,
Colorado,Colorado State,Nebraska,Utah,,,,,,
Colorado State,Air Force,Colorado,Wyoming,,,,,,
Connecticut,Rutgers,Syracuse,UMass,,,,,,
Duke,Maryland,NC State,North Carolina,Wake Forest,,,,,
East Carolina,Marshall,NC State,Southern Miss,UCF,Appalachian State,,,,
Eastern Michigan,Central Michigan,Western Michigan,,,,,,,
Florida,Alabama,Florida State,Georgia,LSU,Miami,South Carolina,Tennessee,,
Florida Atlantic,FIU,Troy,,,,,,,
Florida International,FAU,,,,,,,,
Florida State,Clemson,Florida,Miami,Virginia,,,,,
Fresno State,Boise State,Hawai'i,Louisiana Tech,San Diego State,San Jose State,,,,
Georgia,Auburn,Clemson,Florida,Georgia Tech,South Carolina,,,,
Georgia State,Georgia Tech,Georgia Southern,,,,,,,
Georgia Tech,Clemson,Georgia,Georgia State,Virginia Tech,Vanderbilt,,,,
Hawai'i,Air Force,Boise State,BYU,Fresno State,Wyoming,,,,
Houston,Rice,SMU,Tulsa,,,,,,
Idaho,Boise State,Washington State,,,,,,,
Illinois,Indiana,Missouri,Northwestern,Ohio State,Purdue,,,,
Indiana,Illinois,Michigan State,Purdue,,,,,,
Iowa,Iowa State,Minnesota,Nebraska,Purdue,Wisconsin,,,,
Iowa State,Iowa,Kansas State,Missouri,,,,,,
Kansas,Kansas State,Missouri,,,,,,,
Kansas State,Iowa State,Kansas,,,,,,,
Kent State,Akron,Bowling Green,,,,,,,
Kentucky,Louisville,Mississippi State,Tennessee,,,,,,
Louisiana,Louisiana Tech,ULM,,,,,,,
Louisiana Tech,Fresno State,Southern Miss,Louisiana,ULM,,,,,
Louisville,Cincinnati,Kentucky,Memphis,West Virginia,,,,,
