DivisionName,ConferenceName,SoleDivision
Coastal,Atlantic Coast Conference,0
Atlantic,Atlantic Coast Conference,0
,Ivy League,1
East,American Athletic Conference,0
West,American Athletic Conference,0
,Big 12 Conference,1
East,Big Ten Conference,0
West,Big Ten Conference,0
East,Southeastern Conference,0
West,Southeastern Conference,0
Mountain,Mountain West Conference,0
West,Mountain West Conference,0
East,Conference USA,0
West,Conference USA,0
North,Pac-12 Conference,0
South,Pac-12 Conference,0
,FBS Independents,1
,Sample Conference 1,1
,Sample Conference 2,1
