Away Team, Away Score, Home Team, Home Score
Air Force,10,Colorado State,44
Navy,33,Air Force,35
Auburn,14,Alabama,31
Alabama,23,Florida,28
LSU,38,Alabama,10
Alabama,24,Mississippi State,26
Alabama,13,Ole Miss,28
Tennessee,0,Alabama,34
Arizona State,7,Arizona,31
Arizona,17,New Mexico,14
Arkansas,48,LSU,23
Ole Miss,21,Arkansas,9
Arkansas,48,Texas A&M,17
Georgia,45,Auburn,7
Auburn,22,LSU,38
Fresno State,13,Boise State,34
Boise State,17,Nevada,13
California,23,Stanford,41
UCLA,16,California,6
USC,28,California,7
Colorado State,10,Colorado,22
Colorado,9,Nebraska,14
Colorado,10,Utah,13
Colorado State,20,Wyoming,23
Rutgers,42,Connecticut,21
UCF,23,East Carolina,14
Florida,21,Georgia,28
LSU,7,Florida,21
Florida,59,South Carolina,0
Florida,9,Tennessee,7
San Diego State,22,Fresno State,15
Fresno State,12,San Jose State,13
South Carolina,3,Georgia,38
SMU,31,Houston,28
Houston,28,Tulsa,23
Illinois,7,Indiana,31
Missouri,50,Illinois,7
Northwestern,13,Illinois,0
Illinois,3,Ohio State,21
Illinois,21,Purdue,24
Indiana,27,Michigan State,21
Purdue,16,Indiana,28
Minnesota,3,Iowa,27
Iowa,17,Nebraska,58
Purdue,28,Iowa,21
Iowa,14,Wisconsin,21
Mississippi State,42,Kentucky,35
Kentucky,7,Tennessee,17
Ole Miss,0,LSU,56
LSU,24,Tulane,17
Maryland,30,Navy,15
Memphis,17,Ole Miss,28
Michigan State,14,Michigan,34
Michigan,24,Minnesota,13
Ohio State,17,Michigan,34
Michigan State,14,Penn State,24
Penn State,24,Minnesota,19
Wisconsin,20,Minnesota,17
Mississippi State,28,Ole Miss,13
Nebraska,30,Missouri,24
Texas A&M,27,Missouri,45
Navy,0,Rutgers,34
Navy,28,SMU,21
Nebraska,20,Penn State,21
Nevada,24,UNLV,7
Penn State,10,Ohio State,55
Ole Miss,35,Vanderbilt,21
Oregon,27,Oregon State,17
Washington,20,Oregon,55
Oregon State,6,Washington,45
Oregon State,9,Washington State,27
Temple,10,Penn State,42
San Jose State,42,San Diego State,30
Stanford,27,San Jose State,10
Stanford,7,USC,10
Vanderbilt,20,Tennessee,10
Tulsa,24,UCF,17
USC,35,UCLA,20
Utah,17,Utah State,0
Wyoming,7,Utah State,37
Washington State,14,Washington,48
Georgia,38,Michigan State,3
Utah,42,Memphis,13
Tulsa,11,South Florida,20
Mississippi State,33,Temple,7
Wisconsin,15,UCLA,31
SMU,21,Rutgers,31
Nevada,17,Oregon State,14
Ohio State,21,Missouri,34
Washington State,17,UCF,21
Boise State,17,LSU,45
UNLV,23,Ole Miss,24
New Mexico,9,Alabama,20
Cincinnati,19,Northwestern,34
USC,35,Colorado State,0
Washington,20,Fresno State,0
Connecticut,15,Colorado,24
Penn State,27,Texas A&M,14
San Diego State,16,Purdue,14
Utah State,17,East Carolina,14
San Jose State,0,Arizona State,48
Tennessee,3,Iowa,24
Oregon,20,Illinois,17
Wyoming,3,Houston,37
South Carolina,10,Stanford,24
Kentucky,17,Florida,35
California,9,Air Force,16
Nebraska,31,Maryland,34
Minnesota,31,Tulane,21
Michigan,25,Indiana,28
Arkansas,31,Navy,24
Arizona,20,Auburn,10
Georgia,36,Utah,29
South Florida,3,Michigan State,41
Memphis,30,Temple,14
Wisconsin,15,Tulsa,23
Rutgers,21,Mississippi State,31
UCLA,21,Oregon State,20
Missouri,21,SMU,32
UCF,14,Nevada,44
LSU,20,Ohio State,24
Ole Miss,19,Washington State,13
Alabama,7,Boise State,29
UNLV,20,Northwestern,27
New Mexico,31,Colorado State,35
Fresno State,13,Cincinnati,28
Connecticut,25,USC,42
Texas A&M,17,Washington,37
Colorado,6,San Diego State,31
East Carolina,7,Penn State,38
Purdue,17,San Jose State,39
Tennessee,19,Utah State,28
Arizona State,17,Oregon,45
Iowa,38,Houston,13
Illinois,10,South Carolina,13
Kentucky,23,Wyoming,7
Air Force,24,Stanford,38
Florida,20,Nebraska,28
Minnesota,23,California,28
Maryland,23,Michigan,38
Tulane,14,Arkansas,21
Indiana,0,Arizona,21
Utah,20,South Florida,17
Temple,28,Georgia,35
Michigan State,21,Wisconsin,51
Oregon State,13,Tulsa,27
Missouri,3,Mississippi State,24
UCLA,45,UCF,7
SMU,21,LSU,42
Nevada,16,Ole Miss,31
Ohio State,20,Alabama,22
Northwestern,14,Washington State,17
Colorado State,46,Boise State,10
UNLV,10,Fresno State,14
New Mexico,10,Connecticut,24
Texas A&M,59,Cincinnati,14
San Diego State,13,USC,35
East Carolina,17,Washington,42
Penn State,7,Tennessee,35
Oregon,10,Purdue,20
Utah State,14,Houston,31
South Carolina,28,Arizona State,20
Iowa,24,Kentucky,12
Air Force,24,Illinois,15
Nebraska,35,Wyoming,16
Stanford,13,Minnesota,24
Michigan,10,Florida,15
California,14,Arkansas,38
Arizona,30,Maryland,31
Tulane,21,Vanderbilt,30
Indiana,21,Auburn,24
Minnesota,10,Vanderbilt,30
Arizona State,6,Memphis,21
Tulsa,17,UNLV,31
South Florida,14,Cincinnati,17
California,21,Fresno State,18
Indiana,10,Ohio State,52
Georgia,30,Oregon,14
USC,24,Mississippi State,27
Northwestern,17,UCLA,20
Temple,0,Iowa,37
Nevada,18,Kentucky,14
Tennessee,9,Colorado State,52
Michigan,39,Purdue,8
Alabama,45,Wisconsin,24
Houston,10,Boise State,20
Maryland,14,Texas A&M,34
Michigan State,21,New Mexico,0
Florida,30,Oregon State,6
Arizona State,14,San Diego State,20
Memphis,28,South Carolina,18
Wyoming,10,Air Force,38
South Florida,31,Tulane,23
Washington State,17,Tulsa,48
Arkansas,26,Indiana,20
Ohio State,23,Oregon,20
Boise State,20,Purdue,17
Michigan State,7,Maryland,31
San Jose State,24,Wyoming,9
Washington State,3,Arizona,31
Fresno State,3,Indiana,17
Washington,42,SMU,10
Kentucky,7,Georgia,42
Northwestern,26,Michigan,28
Tennessee,17,Texas A&M,20
Purdue,0,Penn State,34
Tulane,31,Connecticut,7
Cincinnati,24,Connecticut,17
Connecticut,14,Memphis,42
East Carolina,6,Navy,44
Tulane,7,Memphis,41
Navy,24,Temple,6
Cincinnati,27,East Carolina,0
Utah State,3,Air Force,26
New Mexico,17,UNLV,23
Colorado,7,Arizona State,17
Arizona,24,Colorado,23
Stanford,9,Utah,34
Memphis,42,UCF,7
Houston,13,Cincinnati,37
Houston,24,East Carolina,8
Maryland,16,Rutgers,13
Rutgers,17,Nebraska,49
Wisconsin,26,Rutgers,19
Air Force,7,Nevada,42
Boise State,16,Utah State,69
San Diego State,24,UNLV,30
Air Force,14,San Diego State,42
Vanderbilt,10,Missouri,41
Utah,19,California,7
Colorado,21,USC,14
UCLA,6,Utah,27
Tulsa,7,Temple,45
Temple,20,South Florida,23
Tulsa,20,Tulane,27
UNLV,20,San Jose State,23
Wyoming,10,New Mexico,5
San Jose State,21,Air Force,24
Utah State,42,Fresno State,27
Texas A&M,31,Vanderbilt,27
Missouri,14,Arkansas,35
Texas A&M,31,South Carolina,28
UCLA,24,Arizona,17
SMU,29,South Florida,12
UCF,3,South Florida,41
San Diego State,3,Wyoming,40
Colorado State,33,San Diego State,38
San Jose State,13,Boise State,9
Fresno State,24,Nevada,36
Oregon,42,Washington State,21
Oregon State,14,Arizona State,22
Washington State,17,California,24
Oregon State,9,Arizona,43
Iowa,13,Northwestern,15
Colorado State,16,San Jose State,10
South Carolina,14,Tennessee,24
Mississippi State,20,Arkansas,21
Auburn,30,Kentucky,23
Auburn,17,Mississippi State,35
Minnesota,16,Nebraska,34
Northwestern,0,Michigan State,31
Purdue,7,Northwestern,17
Ole Miss,27,Auburn,20
Alabama,10,Missouri,13
LSU,20,Texas A&M,10
Vanderbilt,17,Alabama,35
Indiana,31,Wisconsin,26
Ohio State,17,Iowa,21
Illinois,21,Minnesota,13
LSU,35,Georgia,28
Georgia,30,Ole Miss,35
Arkansas,35,Florida,17
Ole Miss,23,Tennessee,29
Mississippi State,14,Florida,11
Nebraska,24,Michigan,35
Connecticut,14,Navy,33
Connecticut,21,SMU,31
Utah State,42,New Mexico,28
Washington,27,Arizona State,13
SMU,27,Tulane,20
Houston,40,Connecticut,10
Arizona State,13,Utah,23
Washington,17,UCLA,39
Arizona,10,Stanford,38
East Carolina,6,Memphis,31
Tulane,21,Houston,24
Cincinnati,3,Memphis,46
Navy,14,Tulsa,7
UCF,17,Cincinnati,23
Tulsa,0,SMU,38
Rutgers,23,Illinois,38
Rutgers,28,Northwestern,27
Ohio State,32,Rutgers,29
Fresno State,7,New Mexico,34
Washington State,23,Colorado,20
California,6,Oregon,51
Utah,48,Washington State,0
Oregon,21,UCLA,37
Vanderbilt,14,South Carolina,38
Maryland,31,Ohio State,19
Rutgers,31,Michigan State,10
Wisconsin,3,Maryland,37
Penn State,10,Maryland,17
San Diego State,14,Nevada,34
San Diego State,0,Utah State,31
Boise State,14,UNLV,3
Wyoming,0,Nevada,48
Arizona,21,California,24
USC,7,Oregon State,24
Kentucky,21,Vanderbilt,28
South Florida,33,East Carolina,10
Penn State,27,Wisconsin,31
Purdue,17,Maryland,23
Nevada,35,San Jose State,14
Wyoming,3,Boise State,20
Boise State,24,Air Force,34
Missouri,23,Georgia,26
South Carolina,3,Mississippi State,31
Arkansas,42,Kentucky,21
Nebraska,23,Northwestern,28
Northwestern,7,Indiana,28
Fresno State,10,Colorado State,30
Auburn,31,Arkansas,24
Tennessee,7,Missouri,31
Texas A&M,17,Auburn,33
Indiana,28,Minnesota,25
Minnesota,19,Michigan State,22
Stanford,20,Colorado,17
Tulane,43,Temple,14
Temple,17,Connecticut,7
Oregon State,6,Stanford,48
Navy,13,Tulane,10
UCF,7,Houston,24
UNLV,24,Utah State,7
Nevada,38,New Mexico,35
New Mexico,14,Air Force,40
Arizona,31,USC,27
Memphis,17,Houston,3
Cincinnati,14,SMU,28
Utah State,14,Colorado State,24
Arizona State,24,Washington State,21
South Carolina,14,Kentucky,49
Missouri,33,South Carolina,7
South Florida,7,Connecticut,10
Iowa,21,Rutgers,28
Vanderbilt,25,Georgia,28
Purdue,7,Ohio State,36
USC,21,Washington,24
Colorado,9,Washington,28
Oregon,17,Utah,12
Temple,21,UCF,24
Stanford,28,Arizona State,9
UCLA,27,Colorado,30
Wisconsin,31,Illinois,38
Memphis,10,SMU,24
Penn State,14,Iowa,20
Washington,31,Stanford,6
Cincinnati,13,Temple,31
East Carolina,24,Tulsa,25
UCF,25,Navy,28
San Jose State,13,Auburn,30
Mississippi State,0,Michigan,52
Maryland,21,UNLV,19
South Florida,13,Wisconsin,31
Vanderbilt,19,Wyoming,8
Michigan,14,Colorado State,48
Auburn,20,Oregon State,17
Florida,27,UCLA,26
Michigan State,27,Kentucky,26
Vanderbilt,21,UCF,24
Michigan,44,South Florida,13
Utah,24,USC,21
Colorado State,3,Nevada,24
Georgia,7,Mississippi State,17
Oregon,21,Utah,24
SMU,17,Navy,24
Michigan,32,Indiana,13
