CityName,StateName,Count,
Saint Louis,MO,197,
Fork Union,VA,139,
Spring,TX,103,
Valencia,CA,86,
Opa Locka,FL,84,
Ventura,CA,76,
Woodland Hills,CA,74,
New Berlin,NY,74,
Kahuku,HI,71,
Perkinston,MS,66,
Wesson,MS,65,
Kansas City,MO,63,
Olney,MD,62,
Cypress,TX,59,
Poplarville,MS,58,
Seffner,FL,57,
Scooba,MS,57,
Harbor City,CA,55,
Marrero,LA,55,
Upper Marlboro,MD,51,
Wilmington,CA,48,
Woodbridge,VA,45,
Destrehan,LA,45,
Lagrange,GA,44,
Metairie,LA,43,
West Bloomfield,MI,42,
Olive Branch,MS,42,
Senatobia,MS,42,
Ponte Vedra Beach,FL,41,
Wayne,NJ,40,
Sherman Oaks,CA,40,
Hattiesburg,MS,40,
Batesville,MS,40,
Meridian,MS,39,
Booneville,MS,39,
Hallandale,FL,38,
Ellenwood,GA,37,
The Woodlands,TX,36,
Reserve,LA,36,
Ashburn,VA,35,
Encino,CA,35,
West Hills,CA,35,
Raymond,MS,35,
Summit,MS,35,
Macon,GA,34,
Sandy,UT,34,
Mckinney,TX,33,
Gulfport,MS,33,
Moorhead,MS,33,
Van Nuys,CA,32,
Oxford,MS,32,
Madison,MS,32,
Midlothian,VA,30,
Starkville,MS,30,
Waldorf,MD,30,
Towson,MD,30,
Boutte,LA,29,
Harvey,LA,29,
Winston Salem,NC,29,
Blue Springs,MO,28,
Stafford,VA,27,
Wayne,PA,27,
Clarksdale,MS,27,
Immokalee,FL,26,
West Chester,OH,26,
Mckeesport,PA,26,
Highland Springs,VA,25,
Citra,FL,25,
Deland,FL,24,
Kapolei,HI,24,
Mission Hills,CA,23,
Amite,LA,23,
Clifton,VA,22,
Piscataway,NJ,22,
Geismar,LA,22,
Flowood,MS,22,
Germantown,MD,22,
Lees Summit,MO,22,
Eight Mile,AL,21,
Pascagoula,MS,21,
Brandon,MS,21,
Southaven,MS,21,
Decatur,MS,21,
Westlake Village,CA,20,
Chesterfield,VA,19,
Crosby,TX,19,
Sicklerville,NJ,19,
Columbus,MS,19,
Owings Mills,MD,19,
Florissant,MO,19,
Mililani,HI,19,
Spring Branch,TX,18,
Warminster,PA,18,
Laurel,MS,18,
Woodberry Forest,VA,17,
West Orange,NJ,17,
Montclair,NJ,17,
Granite Bay,CA,17,
Edgard,LA,17,
Roebuck,SC,17,
Mableton,GA,17,
Cordova,TN,17,
Fort Washington,MD,17,
Oxon Hill,MD,17,
Cheshire,CT,17,
Arlington,VA,16,
Carmichael,CA,16,
Middle Village,NY,16,
Cherry Hill,NJ,15,
Lewis Center,OH,15,
Newhall,CA,15,
Wexford,PA,15,
Mckees Rocks,PA,15,
Biloxi,MS,15,
Vicksburg,MS,15,
Potomac,MD,15,
Coeur D Alene,ID,15,
McCalla,AL,14,
Mcallen,TX,14,
Chatfield,TX,14,
Irvington,NJ,14,
Lehigh Acres,FL,14,
Canton,MI,14,
West Point,MS,14,
Brandywine,MD,14,
Kailua,HI,14,
Spring Valley,CA,13,
El Dorado Hills,CA,13,
Newbury Park,CA,13,
Belle Chasse,LA,13,
Macomb,MI,13,
Exton,PA,13,
Antioch,TN,13,
Tupelo,MS,13,
Bethesda,MD,13,
Chantilly,VA,12,
Bealeton,VA,12,
Gibsonton,FL,12,
Glen Saint Mary,FL,12,
Navarre,FL,12,
Loxahatchee,FL,12,
Hemingway,SC,12,
Waynesboro,MS,12,
Louisville,MS,12,
Horn Lake,MS,12,
Columbia,MD,12,
Saint Charles,MO,12,
Avon,CT,12,
West Roxbury,MA,12,
Stilwell,KS,12,
Theodore,AL,11,
Channelview,TX,11,
Atco,NJ,11,
Merritt Island,FL,11,
Crawfordville,FL,11,
Plumas Ntl Forest,CA,11,
Chatsworth,CA,11,
Clinton Township,MI,11,
Mcdonough,GA,11,
Ooltewah,TN,11,
Natchez,MS,11,
Bassfield,MS,11,
Saint Joseph,MO,11,
Salisbury,CT,11,
Bloomfield,CT,11,
Wailuku,HI,11,
Brantley,AL,10,
Dinwiddie,VA,10,
Nokesville,VA,10,
Middletown,NJ,10,
Riverside,NJ,10,
Spanaway,WA,10,
La Jolla,CA,10,
Greenbrae,CA,10,
Saint James,LA,10,
Clarkston,MI,10,
Boiling Springs,SC,10,
Imperial,PA,10,
Gibsonia,PA,10,
Springfield,PA,10,
Franklin,GA,10,
Lindale,GA,10,
Philadelphia,MS,10,
Greenville,MS,10,
Peculiar,MO,10,
Ballwin,MO,10,
Laveen,AZ,10,
Franklin,MA,10,
Bear,DE,10,
Hazel Green,AL,9,
Springfield,VA,9,
Mechanicsville,VA,9,
Chester,VA,9,
Burke,VA,9,
Parlin,NJ,9,
Port Charlotte,FL,9,
Cantonment,FL,9,
Palos Verdes Peninsula,CA,9,
Studio City,CA,9,
La Place,LA,9,
Piedmont,SC,9,
Fairless Hills,PA,9,
Gautier,MS,9,
Moss Point,MS,9,
Petal,MS,9,
Tunica,MS,9,
Pomfret,MD,9,
Silver Spring,MD,9,
Saint Peters,MO,9,
Windsor,CT,9,
New Canaan,CT,9,
Kailua Kona,HI,9,
Groton,MA,9,
Leroy,AL,8,
Glen Allen,VA,8,
Sterling,VA,8,
Voorhees,NJ,8,
Sparta,NJ,8,
Holmdel,NJ,8,
Riverview,FL,8,
Graham,WA,8,
Valley Center,CA,8,
Greensburg,LA,8,
Mount Ulla,NC,8,
Madison,TN,8,
LaVergne,TN,8,
Tylertown,MS,8,
Taylorsville,MS,8,
Cleveland,MS,8,
Byhalia,MS,8,
Mccomb,MS,8,
Brookhaven,MS,8,
Bay Saint Louis,MS,8,
Reisterstown,MD,8,
Damascus,MD,8,
U S A F Academy,CO,8,
Springfield,MO,8,
Liberty,MO,8,
Jefferson City,MO,8,
Woodstock,CT,8,
Greenwich,CT,8,
Westwood,MA,8,
Danvers,MA,8,
New Market,AL,7,
Moorestown,NJ,7,
Orange,NJ,7,
Blairstown,NJ,7,
Monmouth Junction,NJ,7,
Willingboro,NJ,7,
Barnegat,NJ,7,
West Helena,AR,7,
Land O Lakes,FL,7,
North Fort Myers,FL,7,
Pacific Palisades,CA,7,
Antelope,CA,7,
Port Sulphur,LA,7,
Ft Mitchell,KY,7,
Dorchester,SC,7,
Flushing,NY,7,
Evans,GA,7,
Pearl,MS,7,
Amory,MS,7,
Ocean Springs,MS,7,
Grenada,MS,7,
Ellicott City,MD,7,
Randallstown,MD,7,
Clarksville,MD,7,
Ijamsville,MD,7,
Riverside,MO,7,
Wahiawa,HI,7,
Waianae,HI,7,
Ewa Beach,HI,7,
Natick,MA,7,
Andover,MA,7,
Cottondale,AL,6,
Tanner,AL,6,
Westbrook,TX,6,
China Spring,TX,6,
Coldspring,TX,6,
Teaneck,NJ,6,
Union,NJ,6,
Williamstown,NJ,6,
Junction City,AR,6,
Valrico,FL,6,
Southwest Brevard Cnty,FL,6,
Palm Harbor,FL,6,
Canoga Park,CA,6,
Saint Amant,LA,6,
Fort Campbell,KY,6,
Redford,MI,6,
Lawndale,NC,6,
Ladys Island,SC,6,
Harmony,PA,6,
Glen Mills,PA,6,
Haverford,PA,6,
Long Island City,NY,6,
Powell,TN,6,
Meadville,MS,6,
Collins,MS,6,
Lucedale,MS,6,
Yazoo City,MS,6,
Woodville,MS,6,
Rosedale,MS,6,
Severn,MD,6,
Grandview,MO,6,
O'Fallon,MO,6,
Coronado Ntl Forest,AZ,6,
Hamden,CT,6,
West Hartford,CT,6,
Ona,WV,6,
Aiea,HI,6,
Makawao,HI,6,
Bridgton,ME,6,
Harvest,AL,5,
Notasulga,AL,5,
Ridgeway,VA,5,
Lorton,VA,5,
Church View,VA,5,
Goochland,VA,5,
Scurry,TX,5,
Huffman,TX,5,
Woodbridge,NJ,5,
Egg Harbor Township,NJ,5,
Jackson,NJ,5,
Somerset,NJ,5,
Mount Holly,NJ,5,
Cedar Grove,NJ,5,
Edison,NJ,5,
Medford,NJ,5,
Lakewood,NJ,5,
Hot Springs National Park,AR,5,
Bearden,AR,5,
Greenville,FL,5,
Defuniak Springs,FL,5,
Jensen Beach,FL,5,
Yulee,FL,5,
Leavittsburg,OH,5,
The Plains,OH,5,
Sylmar,CA,5,
Fallbrook,CA,5,
Death Valley,CA,5,
Fair Oaks,CA,5,
Hacienda Heights,CA,5,
Canyon Country,CA,5,
Mooringsport,LA,5,
Belfry,KY,5,
Dewitt,MI,5,
New London,NC,5,
Vanceboro,NC,5,
Bunn,NC,5,
Mcleansville,NC,5,
Bailey,NC,5,
Santee,SC,5,
Wallingford,PA,5,
Southampton,PA,5,
Glenside,PA,5,
Harrison City,PA,5,
Wilkes Barre,PA,5,
Tunnel Hill,GA,5,
Evensville,TN,5,
Morton,MS,5,
Monticello,MS,5,
Ackerman,MS,5,
Picayune,MS,5,
Ridgeland,MS,5,
Lake Cormorant,MS,5,
Long Beach,MS,5,
Sardis,MS,5,
Aberdeen,MS,5,
Sandy Spring,MD,5,
Gwynn Oak,MD,5,
Dekalb,IL,5,
Summit Argo,IL,5,
Mchenry,IL,5,
Harrisonville,MO,5,
Webb City,MO,5,
Kearney,MO,5,
New Madrid,MO,5,
QUEEN CREEK,AZ,5,
Clackamas,OR,5,
Watertown,CT,5,
Elkhorn,NE,5,
Marion,MA,5,
New Hampton,NH,5,
St. Catharines,ON,5,
Killen,AL,4,
Courtland,AL,4,
Plantersville,AL,4,
Buhl,AL,4,
Oakton,VA,4,
Ringgold,VA,4,
Farnham,VA,4,
Briscoe,TX,4,
Neptune,NJ,4,
Hazlet,NJ,4,
Toms River,NJ,4,
Lithia,FL,4,
Fort White,FL,4,
Lake Minneola,FL,4,
Hinckley,OH,4,
Kings Mills,OH,4,
Veradale,WA,4,
Paso Robles,CA,4,
Lakeside,CA,4,
Stevenson Ranch,CA,4,
Oak Park,CA,4,
Playa Del Rey,CA,4,
Loreauville,LA,4,
Gray,LA,4,
Raceland,LA,4,
Loranger,LA,4,
Mcalester,OK,4,
Waterford,MI,4,
La Porte,IN,4,
Saltsburg,PA,4,
Abington,PA,4,
Lewisberry,PA,4,
Drexel Hill,PA,4,
Enola,PA,4,
Natrona Heights,PA,4,
Melville,NY,4,
Jeffersonville,GA,4,
Portal,GA,4,
Kathleen,GA,4,
Coolidge,GA,4,
Lumberton,MS,4,
Kosciusko,MS,4,
Camden,MS,4,
Magee,MS,4,
Hernando,MS,4,
Caledonia,MS,4,
Hazlehurst,MS,4,
Mendenhall,MS,4,
Bay Springs,MS,4,
Forest,MS,4,
Walnut,MS,4,
Water Valley,MS,4,
Hollandale,MS,4,
De Kalb,MS,4,
Port Gibson,MS,4,
Clarksburg,MD,4,
Glen Burnie,MD,4,
Millersville,MD,4,
Lanham,MD,4,
Burtonsville,MD,4,
Eureka,MO,4,
Wentzville,MO,4,
Chesterfield,MO,4,
Independence,MO,4,
Fond Du Lac,WI,4,
B M Goldwater A F Range,AZ,4,
Southington,CT,4,
New Milford,CT,4,
Wallingford,CT,4,
Suffield,CT,4,
Kent,CT,4,
Sandy Hook,CT,4,
Hilo,HI,4,
Kapaa,HI,4,
Mccook,NE,4,
Needham,MA,4,
Dudley,MA,4,
Andale,KS,4,
Windsor,ON,4,
Wise River,MT,4,
Gurley,AL,3,
Ariton,AL,3,
Lester,AL,3,
Comfort,TX,3,
Centerville,TX,3,
New London,TX,3,
Burton,TX,3,
Rice,TX,3,
Montgomery,TX,3,
Township Of Washington,NJ,3,
Oakhurst,NJ,3,
Manahawkin,NJ,3,
Scotch Plains,NJ,3,
Pennsauken,NJ,3,
Succasunna,NJ,3,
Bridgewater,NJ,3,
Richland,NJ,3,
Colonia,NJ,3,
North Bergen,NJ,3,
Sewell,NJ,3,
Skillman,NJ,3,
Pearcy,AR,3,
Lutz,FL,3,
Thornville,OH,3,
Clarksville,OH,3,
Brush Prairie,WA,3,
San Pedro,CA,3,
Reseda,CA,3,
Shingle Springs,CA,3,
Aptos,CA,3,
Panorama City,CA,3,
Granada Hills,CA,3,
Ramona,CA,3,
Castroville,CA,3,
North Hills,CA,3,
Deridder,LA,3,
Chalmette,LA,3,
Holt,MI,3,
Overton,NV,3,
Teachey,NC,3,
Denver,NC,3,
Wagener,SC,3,
Batesburg,SC,3,
Summerton,SC,3,
Swansea,SC,3,
Seabrook,SC,3,
Berwyn,PA,3,
Hershey,PA,3,
King Of Prussia,PA,3,
Bryn Mawr,PA,3,
Wyncote,PA,3,
Milford,PA,3,
Mcdonald,PA,3,
Warrington,PA,3,
Allison Park,PA,3,
Fort Washington,PA,3,
New Windsor,NY,3,
Manorville,NY,3,
Shoreham,NY,3,
Middle Island,NY,3,
Central Valley,NY,3,
Huntington Station,NY,3,
Danielsville,GA,3,
Sharpsburg,GA,3,
Decaturville,TN,3,
Sumrall,MS,3,
Diberville,MS,3,
Okolona,MS,3,
Kiln,MS,3,
Heidelberg,MS,3,
New Augusta,MS,3,
Raleigh,MS,3,
Wiggins,MS,3,
Indianola,MS,3,
Terry,MS,3,
Purvis,MS,3,
Nettleton,MS,3,
Corinth,MS,3,
Benoit,MS,3,
Lusby,MD,3,
Gambrills,MD,3,
Bethany,MO,3,
Weston,MO,3,
Caruthersville,MO,3,
Cape Girardeau,MO,3,
Hayti,MO,3,
Ozark,MO,3,
Fenton,MO,3,
Hannibal,MO,3,
Nixa,MO,3,
Menomonie,WI,3,
Trumbull,CT,3,
Stratford,CT,3,
Westport,CT,3,
Berlin,CT,3,
Manchester,CT,3,
Kamuela,HI,3,
Braintree,MA,3,
Marshfield,MA,3,
Tecumseh,KS,3,
Exeter,NH,3,
Andover,NH,3,
Aurora,ON,3,
Leighton,AL,2,
Cecil,AL,2,
Autaugaville,AL,2,
Rockford,AL,2,
Gilbertown,AL,2,
Sweet Water,AL,2,
Maplesville,AL,2,
Wedowee,AL,2,
Prince George,VA,2,
Forest,VA,2,
Quantico,VA,2,
Reston,VA,2,
Charlotte Court House,VA,2,
Daleville,VA,2,
