StateName,StateAbbreviation,RegionName,,
Alabama,AL,Southeast,,
Alaska,AK,West,,
Arizona,AZ,West,,
Arkansas,AR,South,,
California,CA,West,,
Colorado,CO,West,,
Connecticut,CT,Atlantic,,
Delaware,DE,Atlantic,,
District of Columbia,DC,Atlantic,,
Florida,FL,Southeast,,
Georgia,GA,Southeast,,
Hawaii,HI,West,,
Idaho,ID,West,,
Illinois,IL,Midwest,,
Indiana,IN,Midwest,,
Iowa,IA,Midwest,,
Kansas,KS,South,,
Kentucky,KT,Atlantic,,
Louisiana,LA,South,,
Maine,ME,Atlantic,,
Maryland,MD,Atlantic,,
Massachusetts,MA,Atlantic,,
Michigan,MI,Midwest,,
Minnesota,MN,Midwest,,
Mississippi,MS,Southeast,,
Missouri,MO,Midwest,,
Montana,MN,West,,
Nebraska,NE,Midwest,,
Nevada,NV,West,,
New Hampshire,NH,Atlantic,,
New Jersey,NJ,Atlantic,,
New Mexico,NM,South,,
New York,NY,Atlantic,,
North Carolina,NC,Atlantic,,
North Dakota,ND,Midwest,,
Ohio,OH,Midwest,,
Oklahoma,OK,South,,
Ontario,ON,Atlantic,,
Oregon,OR,West,,
Pennsylvania,PA,Atlantic,,
Rhode Island,RI,Atlantic,,
South Carolina,SC,Southeast,,
South Dakota,SD,Midwest,,
Tennessee,TN,Southeast,,
Texas,TX,South,,
Utah,UT,West,,
Vermont,VT,Atlantic,,
Virginia,VA,Atlantic,,
Washington,WA,West,,
West Virginia,WV,Atlantic,,
Wisconsin,WI,Midwest,,
Wyoming,WY,West,,
