TeamName,TeamNickname,LeagueName,Abbreviation,City,State,Country,DivisionName,ConferenceName,DefaultOffensiveScheme,DefaultDefensiveScheme,TeamTalent,TeamColor_Primary_HEX,TeamColor_Secondary_HEX,TeamJerseyInvert,Team Prestige,Facilities,Pro Potential,Campus Lifestyle,Academic Prestige,Television Exposure,Coach Loyalty,Location,Championship Contender
Connecticut,Huskies,NCAA,UCONN,Storrs,Connecticut,USA,East,American Athletic Conference,Spread,3-Apr,75,0A1D5A,FFFFFF,0,20,20,10,60,40,10,50,45,20
South Florida,Bulls,NCAA,USF,Tampa,Florida,USA,East,American Athletic Conference,Spread,3-Apr,68,004A36,A08B4D,0,40,40,30,60,30,30,50,70,40
UCF,Knights,NCAA,UCF,Orlando,Florida,USA,East,American Athletic Conference,Spread,3/3/05,82,B4985A,231F20,0,60,50,40,60,20,40,50,70,60
Tulane,Green Wave,NCAA,TUL,New Orleans,Louisiana,USA,West,American Athletic Conference,Pro Style,3-Apr,30,11472A,1890CC,0,30,20,20,70,70,20,20,70,30
Navy,Midshipmen,NCAA,NAVY,Annapolis,Maryland,USA,East,American Athletic Conference,Triple Option,3/3/05,50,00205B,C5B783,0,40,20,10,5,90,50,40,30,40
East Carolina,Pirates,NCAA,ECU,Greenville,North Carolina,USA,East,American Athletic Conference,Heavy Run,3-Apr,61,4A1F68,FFCE28,0,20,20,10,60,10,10,50,45,20
Cincinnati,Bearcats,NCAA,CIN,Cincinnati,Ohio,USA,West,American Athletic Conference,Air Raid,4-Mar,81,FD0026,0,0,50,50,40,30,40,40,50,40,50
Tulsa,Golden Hurricane,NCAA,TUL,Tulsa,Oklahoma,USA,West,American Athletic Conference,Spread,3-Apr,30,0E387C,C8102E,0,30,20,20,20,30,20,20,10,30
Temple,Owls,NCAA,TEM,Philadelphia,Pennsylvania,USA,East,American Athletic Conference,Pro Style,3-Apr,73,A80532,FFFFFF,0,40,30,20,40,50,20,50,60,40
Memphis,Tigers,NCAA,MEM,Memphis,Tennessee,USA,West,American Athletic Conference,Spread,3-Apr,75,2A2A9B,FFFFFF,0,50,50,40,40,20,40,50,60,50
Houston,Cougars,NCAA,HOU,Houston,Texas,USA,West,American Athletic Conference,Spread,4/2/05,84,C90822,FFFFFF,0,50,50,40,40,40,40,50,60,50
