Team1Name,Team2Name,RivalryName
Air Force,Army,
Air Force,Colorado State,
Air Force,Hawai'i,
Air Force,Navy,
Akron,Kent State,
Alabama,Auburn,Iron Bowl
Alabama,Florida,
Alabama,LSU,
Alabama,Mississippi State,Battle for Highway 82
Alabama,Ole Miss,
Alabama,Tennessee,Third Saturday in October
Arizona,Arizona State,Duel in the Desert
Arizona,New Mexico,
Arkansas,LSU,
Arkansas,Ole Miss,
Arkansas,Texas,
Arkansas,Texas A&M,Southwest Classic
Arkansas State,North Texas,
Arkansas State,ULM,
Arkansas State,Memphis,Paint Bucket Bowl
Army,Navy,Army - Navy Game
Army,Rutgers,
Army,Notre Dame,
Auburn,Georgia,Deep South's Oldest Rivalry
Auburn,LSU,Tiger Bowl
Ball State,Northern Illinois,
Baylor,TCU,
Baylor,Texas,
Baylor,Texas A&M,Battle of the Brazos
Baylor,Texas Tech,
Baylor,Texas Christian,
BYU,Boise State,
BYU,Hawai'i,
BYU,San Diego State,
BYU,Utah,Holy War
BYU,Utah State,
Boise State,Fresno State,
Boise State,Hawai'i,
Boise State,Idaho,
Boise State,Nevada,
Boise State,TCU,
Boise State,Texas Christian,
Boston College,Clemson,
Boston College,Miami,
Boston College,Notre Dame,
Boston College,Syracuse,
Boston College,UMass,
Boston College,Virginia Tech,
Bowling Green,Kent State,
Bowling Green,Toledo,
Buffalo,Syracuse,
Buffalo,Temple,
California,Stanford,Big Game
California,UCLA,
California,USC,
Central Michigan,Eastern Michigan,
Central Michigan,Western Michigan,
Cincinnati,Louisville,
Cincinnati,Miami (OH),Battle for the Bell
Cincinnati,Pittsburgh,River City Rivalry
Clemson,Florida State,
Clemson,Georgia,
Clemson,Georgia Tech,
Clemson,NC State,
Clemson,South Carolina,Palmetto Bowl
Clemson,North Carolina State,Textile Bowl
Colorado,Colorado State,Rocky Mountain Showdown
Colorado,Nebraska,
Colorado,Utah,Rumble in the Rockies
Colorado State,Wyoming,Border War
Connecticut,Rutgers,
Connecticut,Syracuse,
Connecticut,UMass,
Duke,Maryland,
Duke,NC State,
Duke,North Carolina,Carolina - Duke
Duke,Wake Forest,
Duke,North Carolina State,
East Carolina,Marshall,
East Carolina,NC State,
East Carolina,Southern Miss,
East Carolina,UCF,
Appalachian State,East Carolina,
Appalachian State,Georgia Southern,
Appalachian State,Georgia State,
Appalachian State,Wake Forest,
Eastern Michigan,Western Michigan,
Florida,Florida State,Sunshine Showdown
Florida,Georgia,
Florida,LSU,
Florida,Miami,
Florida,South Carolina,
Florida,Tennessee,
FIU,Florida Atlantic,Shula Bowl
Florida Atlantic,Troy,
FAU,Florida International,
Florida State,Miami,
Florida State,Virginia,
Fresno State,Hawai'i,
Fresno State,Louisiana Tech,
Fresno State,San Diego State,
Fresno State,San Jose State,
Georgia,Georgia Tech,Clean Old-Fashioned Hate
Georgia,South Carolina,
Georgia State,Georgia Tech,
Georgia Southern,Georgia State,Modern Day Hate
Georgia Tech,Virginia Tech,Techmo Bowl
Georgia Tech,Vanderbilt,
Hawai'i,Wyoming,
Houston,Rice,Bayou Bucket Classic
Houston,SMU,
Houston,Tulsa,
Idaho,Washington State,
Illinois,Indiana,
Illinois,Missouri,
Illinois,Northwestern,
Illinois,Ohio State,
Illinois,Purdue,
Indiana,Michigan State,
Indiana,Purdue,
Iowa,Iowa State,
Iowa,Minnesota,
Iowa,Nebraska,
Iowa,Purdue,
Iowa,Wisconsin,
Iowa State,Kansas State,Farmageddon
Iowa State,Missouri,
Kansas,Kansas State,Sunflower Showdown
Kansas,Missouri,Border War
Kentucky,Louisville,
Kentucky,Mississippi State,
Kentucky,Tennessee,
Louisiana,Louisiana Tech,Battle for the Bayou
Louisiana,ULM,
Louisiana Tech,Southern Miss,Rivalry in Dixie
Louisiana Tech,ULM,
Louisville,Memphis,
Louisville,West Virginia,
LSU,Ole Miss,Magnolia Bowl
LSU,Tulane,Battle for the Rag
ECU,Marshall,
ECU,North Carolina State,
ECU,Southern Miss,
ECU,UCF,
Marshall,Ohio,Battle for the Bell
Marshall,West Virginia,Friends of Coal Bowl
Maryland,Navy,Crab Bowl Classic
Maryland,NC State,
Maryland,Virginia,
Maryland,West Virginia,
Maryland,North Carolina State,
Memphis,Ole Miss,Mid-South Rivalry
Memphis,Southern Miss,Black and Blue Bowl
Memphis,UAB,
Miami,Virginia Tech,
Miami (OH),Ohio,Battle of the Bricks
Michigan,Michigan State,
Michigan,Minnesota,
Michigan,Notre Dame,
Michigan,Ohio State,The Game
Michigan State,Notre Dame,
Michigan State,Penn State,
Mid Tennessee State,North Texas,
Mid Tennessee State,Troy,Battle for the Palladium
Mid Tennessee State,Western Kentucky,100 Miles of Hate
Minnesota,Penn State,
Minnesota,Wisconsin,
Mississippi State,Ole Miss,Egg Bowl
Missouri,Nebraska,
Missouri,Oklahoma,
Missouri,Texas A&M,
Navy,Notre Dame,
Navy,Rutgers,
Navy,SMU,
Nebraska,Oklahoma,
Nebraska,Penn State,
Nevada,UNLV,Battle for Nevada
New Mexico,New Mexico State,Rio Grande Rivalry
New Mexico,UTEP,
New Mexico State,UTEP,Battle for I-10
NC State,North Carolina,
NC State,Wake Forest,
North Carolina,Virginia,South's Oldest Rivalry
North Carolina,Wake Forest,
North Carolina,North Carolina State,
North Carolina State,Wake Forest,
Mid Tenn State,North Texas,
Mid Tenn State,Troy,
Mid Tenn State,Western Kentucky,
North Texas,SMU,Safeway Bowl
Northern Illinois,Toledo,
Notre Dame,Pittsburgh,
Notre Dame,Purdue,
Notre Dame,Stanford,
Notre Dame,USC,
Ohio State,Penn State,
Oklahoma,Oklahoma State,Bedlam
Oklahoma,Texas,Red River Shootout
Oklahoma State,Tulsa,
Old Dominion,Virginia,
Old Dominion,Virginia Tech,
Ole Miss,Vanderbilt,
Oregon,Oregon State,Civil War
Oregon,Washington,
Oregon State,Washington,
Oregon State,Washington State,
Penn State,Pittsburgh,Keystone Classic
Penn State,Temple,
Pittsburgh,Syracuse,
Pittsburgh,Temple,
Pittsburgh,West Virginia,Backyard Brawl
Rice,SMU,
Rice,Tulsa,
San Diego State,San Jose State,
San Jose State,Stanford,Bill Walsh Legacy Game
SMU,TCU,Battle for the Iron Skillet
South Alabama,Troy,Battle for the Belt
Southern Miss,Tulane,Battle for the Bell
Southern Miss,UAB,
Stanford,USC,
Syracuse,West Virginia,
Tennessee,Vanderbilt,
Texas,Texas A&M,
Texas,Texas Tech,
Texas A&M,Texas Tech,
Texas State,UTSA,
Tulsa,UCF,
Tulsa,UTEP,
UCF,USF,War on I-4
UCLA,USC,
Utah,Utah State,Battle of the Brothers
Utah State,Wyoming,Bridger's Battle
Virginia,Virginia Tech,
Virginia Tech,West Virginia,
Washington,Washington State,Apple Cup
Coastal Carolina,Liberty,
