CityName,StateCode,StateName,Latitude,Longitude, Population ,TimezoneCode
Walnut,CA,California,34.0334,-117.8593," 30,199 ",P
Atascadero,CA,California,35.4827,-120.6858," 30,418 ",P
San Carlos,CA,California,37.4982,-122.268," 30,499 ",P
Barstow,CA,California,34.8655,-117.0464," 30,606 ",P
Burlingame,CA,California,37.586,-122.3669," 30,686 ",P
Los Gatos,CA,California,37.2307,-121.9563," 30,724 ",P
Los Altos,CA,California,37.3685,-122.0966," 30,743 ",P
Santa Paula,CA,California,34.352,-119.0698," 30,747 ",P
Saratoga,CA,California,37.2682,-122.0264," 30,905 ",P
Goleta,CA,California,34.436,-119.8596," 31,116 ",P
San Pablo,CA,California,37.9628,-122.3425," 31,156 ",P
Banning,CA,California,33.946,-116.8991," 31,230 ",P
Des Moines,WA,Washington,47.3914,-122.3154," 31,238 ",P
Placerville,CA,California,38.7309,-120.7979," 31,260 ",P
Laguna Hills,CA,California,33.592,-117.6992," 31,318 ",P
Redmond,OR,Oregon,44.2631,-121.1798," 31,695 ",P
Coos Bay,OR,Oregon,43.3789,-124.233," 32,030 ",P
La Verne,CA,California,34.1208,-117.7702," 32,461 ",P
Ridgecrest,CA,California,35.6308,-117.6621," 32,579 ",P
Lake Stevens,WA,Washington,48.0029,-122.096," 32,785 ",P
Lawndale,CA,California,33.8884,-118.3531," 33,078 ",P
Pullman,WA,Washington,46.7342,-117.1661," 33,276 ",P
Post Falls,ID,Idaho,47.7202,-116.9397," 33,290 ",P
University Place,WA,Washington,47.2148,-122.546," 33,401 ",P
Arcata,CA,California,40.862,-124.0754," 33,806 ",P
Dana Point,CA,California,33.4733,-117.6969," 33,934 ",P
Adelanto,CA,California,34.5815,-117.4395," 34,066 ",P
Sonoma,CA,California,38.2902,-122.4598," 34,089 ",P
San Dimas,CA,California,34.1082,-117.809," 34,326 ",P
Menlo Park,CA,California,37.4686,-122.1671," 34,357 ",P
Foster City,CA,California,37.5553,-122.2659," 34,412 ",P
Beverly Hills,CA,California,34.0786,-118.4021," 34,484 ",P
Grass Valley,CA,California,39.2237,-121.0521," 34,650 ",P
Oak Harbor,WA,Washington,48.2965,-122.633," 34,663 ",P
Auburn,CA,California,38.895,-121.0778," 34,818 ",P
Pleasant Hill,CA,California,37.954,-122.0759," 34,987 ",P
Woodburn,OR,Oregon,45.1476,-122.8585," 35,267 ",P
Paradise,CA,California,39.7558,-121.6063," 35,337 ",P
Bell,CA,California,33.9801,-118.1798," 35,811 ",P
Manhattan Beach,CA,California,33.8895,-118.3972," 35,924 ",P
Claremont,CA,California,34.1259,-117.7153," 36,015 ",P
San Juan Capistrano,CA,California,33.5009,-117.6544," 36,064 ",P
Oregon City,OR,Oregon,45.3418,-122.5938," 36,360 ",P
Temple City,CA,California,34.1022,-118.0579," 36,367 ",P
Moorpark,CA,California,34.2855,-118.877," 36,802 ",P
Wildomar,CA,California,33.6173,-117.2582," 36,932 ",P
Monrovia,CA,California,34.165,-117.9921," 37,061 ",P
West Hollywood,CA,California,34.0883,-118.3719," 37,080 ",P
Issaquah,WA,Washington,47.5421,-122.0445," 37,487 ",P
Moses Lake,WA,Washington,47.1285,-119.2741," 37,774 ",P
Lynnwood,WA,Washington,47.8285,-122.3034," 38,273 ",P
Martinez,CA,California,37.9985,-122.116," 38,373 ",P
Stanton,CA,California,33.8002,-117.9935," 38,528 ",P
Pacifica,CA,California,37.6112,-122.4781," 39,087 ",P
Los Banos,CA,California,37.0631,-120.8405," 39,122 ",P
Lake Oswego,OR,Oregon,45.4129,-122.7002," 39,196 ",P
Montclair,CA,California,34.0714,-117.6981," 39,276 ",P
Culver City,CA,California,34.0058,-118.3968," 39,283 ",P
Keizer,OR,Oregon,45.0028,-123.0241," 39,315 ",P
La Puente,CA,California,34.0323,-117.9533," 40,322 ",P
San Gabriel,CA,California,34.0948,-118.099," 40,514 ",P
Puyallup,WA,Washington,47.1794,-122.2902," 41,001 ",P
La Quinta,CA,California,33.6536,-116.2785," 41,304 ",P
Campbell,CA,California,37.2803,-121.9542," 41,544 ",P
McMinnville,OR,Oregon,45.211,-123.1918," 41,583 ",P
Centralia,WA,Washington,46.7226,-122.9695," 41,643 ",P
Oakley,CA,California,37.9929,-121.6951," 41,714 ",P
Edmonds,WA,Washington,47.8114,-122.3533," 42,209 ",P
Rancho Palos Verdes,CA,California,33.7554,-118.3636," 42,364 ",P
Klamath Falls,OR,Oregon,42.2192,-121.7755," 42,463 ",P
Bell Gardens,CA,California,33.9663,-118.155," 42,747 ",P
Brea,CA,California,33.9255,-117.8654," 42,777 ",P
Rohnert Park,CA,California,38.348,-122.6964," 42,838 ",P
San Bruno,CA,California,37.6254,-122.4313," 43,299 ",P
Desert Hot Springs,CA,California,33.9551,-116.543," 43,730 ",P
Roseburg,OR,Oregon,43.2229,-123.3519," 43,948 ",P
Selma,CA,California,36.5744,-119.6157," 44,626 ",P
Danville,CA,California,37.8121,-121.9698," 44,786 ",P
Eureka,CA,California,40.7941,-124.1568," 45,010 ",P
Morgan Hill,CA,California,37.1324,-121.641," 45,037 ",P
Coachella,CA,California,33.6905,-116.143," 45,443 ",P
Bothell,WA,Washington,47.7736,-122.2044," 45,533 ",P
Oroville,CA,California,39.4999,-121.5634," 45,655 ",P
Hollister,CA,California,36.8563,-121.3981," 46,183 ",P
Beaumont,CA,California,33.9059,-116.9763," 46,967 ",P
Newark,CA,California,37.5204,-122.0312," 47,531 ",P
Lincoln,CA,California,38.8759,-121.2916," 47,674 ",P
Palm Springs,CA,California,33.8013,-116.5381," 48,142 ",P
San Jacinto,CA,California,33.797,-116.9915," 48,254 ",P
Covina,CA,California,34.0903,-117.8817," 48,462 ",P
Ceres,CA,California,37.5953,-120.9625," 48,697 ",P
Rancho Santa Margarita,CA,California,33.6318,-117.5989," 48,793 ",P
Reedley,CA,California,36.5983,-119.4473," 48,970 ",P
Cypress,CA,California,33.8171,-118.0386," 49,064 ",P
La Mirada,CA,California,33.9025,-118.0093," 49,095 ",P
Lacey,WA,Washington,47.045,-122.7931," 49,748 ",P
Azusa,CA,California,34.1386,-117.9124," 49,864 ",P
Poway,CA,California,32.9871,-117.0201," 50,041 ",P
Cerritos,CA,California,33.8677,-118.0686," 51,020 ",P
Burien,WA,Washington,47.4762,-122.3393," 51,671 ",P
Aliso Viejo,CA,California,33.5792,-117.729," 51,671 ",P
Placentia,CA,California,33.8807,-117.8553," 52,157 ",P
Glendora,CA,California,34.1449,-117.8468," 52,445 ",P
Lompoc,CA,California,34.6618,-120.4714," 52,856 ",P
Palm Desert,CA,California,33.7378,-116.3695," 52,932 ",P
Tigard,OR,Oregon,45.4237,-122.7844," 53,148 ",P
Lewiston,ID,Idaho,46.3935,-116.9934," 53,436 ",P
West Sacramento,CA,California,38.5556,-121.5504," 53,512 ",P
Yucaipa,CA,California,34.0336,-117.0426," 53,683 ",P
Delano,CA,California,35.767,-119.2637," 54,471 ",P
Rosemead,CA,California,34.0688,-118.0823," 54,554 ",P
Cathedral City,CA,California,33.8363,-116.4642," 54,596 ",P
Arroyo Grande,CA,California,35.1241,-120.5845," 54,620 ",P
Colton,CA,California,34.0538,-117.3254," 54,828 ",P
Paramount,CA,California,33.8976,-118.1651," 54,909 ",P
Grants Pass,OR,Oregon,42.4333,-123.3317," 54,973 ",P
Lake Havasu City,AZ,Arizona,34.5006,-114.3115," 55,341 ",P
Highland,CA,California,34.1113,-117.1653," 55,342 ",P
Novato,CA,California,38.092,-122.5576," 55,980 ",P
Shoreline,WA,Washington,47.7564,-122.3426," 56,189 ",P
Richland,WA,Washington,46.2826,-119.2938," 56,243 ",P
