GeoLevel,RegionName,RegionAbbreviation,NationName,NationAbbreviation,CityName,StateAbbreviation,StateName,Latitude,Longitude,Population,Timezone,YouthEngagement
4,North America,NA,,,,,,,,,,50
3,North America,NA,Canada,CAN,,,,,,,,50
3,North America,NA,United States,USA,,,,,,,,50
2,North America,NA,Canada,CAN,,ON,Ontario,,,,,50
2,North America,NA,United States,USA,,AL,Alabama,,,,,50
2,North America,NA,United States,USA,,AK,Alaska,,,,,50
2,North America,NA,United States,USA,,AZ,Arizona,,,,,60
2,North America,NA,United States,USA,,AR,Arkansas,,,,,50
2,North America,NA,United States,USA,,CA,California,,,,,90
2,North America,NA,United States,USA,,CO,Colorado,,,,,50
2,North America,NA,United States,USA,,CT,Connecticut,,,,,50
2,North America,NA,United States,USA,,DE,Delaware,,,,,50
2,North America,NA,United States,USA,,DC,District of Columbia,,,,,50
2,North America,NA,United States,USA,,FL,Florida,,,,,70
2,North America,NA,United States,USA,,GA,Georgia,,,,,70
2,North America,NA,United States,USA,,HI,Hawaii,,,,,50
2,North America,NA,United States,USA,,ID,Idaho,,,,,50
2,North America,NA,United States,USA,,IL,Illinois,,,,,50
2,North America,NA,United States,USA,,IN,Indiana,,,,,70
2,North America,NA,United States,USA,,IA,Iowa,,,,,50
2,North America,NA,United States,USA,,KS,Kansas,,,,,50
2,North America,NA,United States,USA,,KY,Kentucky,,,,,50
2,North America,NA,United States,USA,,LA,Louisiana,,,,,60
2,North America,NA,United States,USA,,ME,Maine,,,,,50
2,North America,NA,United States,USA,,MD,Maryland,,,,,50
2,North America,NA,United States,USA,,MA,Massachusetts,,,,,50
2,North America,NA,United States,USA,,MI,Michigan,,,,,50
2,North America,NA,United States,USA,,MN,Minnesota,,,,,55
2,North America,NA,United States,USA,,MO,Mississippi,,,,,50
2,North America,NA,United States,USA,,MS,Missouri,,,,,50
2,North America,NA,United States,USA,,MT,Montana,,,,,50
2,North America,NA,United States,USA,,NE,Nebraska,,,,,50
2,North America,NA,United States,USA,,NV,Nevada,,,,,50
2,North America,NA,United States,USA,,NH,New Hampshire,,,,,50
2,North America,NA,United States,USA,,NJ,New Jersey,,,,,50
2,North America,NA,United States,USA,,NM,New Mexico,,,,,50
2,North America,NA,United States,USA,,NY,New York,,,,,65
2,North America,NA,United States,USA,,NC,North Carolina,,,,,60
2,North America,NA,United States,USA,,ND,North Dakota,,,,,50
2,North America,NA,United States,USA,,OH,Ohio,,,,,50
2,North America,NA,United States,USA,,OK,Oklahoma,,,,,50
2,North America,NA,United States,USA,,OR,Oregon,,,,,50
2,North America,NA,United States,USA,,PA,Pennsylvania,,,,,55
2,North America,NA,United States,USA,,RI,Rhode Island,,,,,50
2,North America,NA,United States,USA,,SC,South Carolina,,,,,50
2,North America,NA,United States,USA,,SD,South Dakota,,,,,50
2,North America,NA,United States,USA,,TN,Tennessee,,,,,50
2,North America,NA,United States,USA,,TX,Texas,,,,,65
2,North America,NA,United States,USA,,UT,Utah,,,,,50
2,North America,NA,United States,USA,,VT,Vermont,,,,,50
2,North America,NA,United States,USA,,VA,Virginia,,,,,60
2,North America,NA,United States,USA,,WA,Washington,,,,,50
2,North America,NA,United States,USA,,WV,West Virginia,,,,,50
2,North America,NA,United States,USA,,WI,Wisconsin,,,,,50
2,North America,NA,United States,USA,,WY,Wyoming,,,,,50
1,North America,NA,Canada,CAN,Toronto,ON,Ontario,43.44,-79,5928000,E,50
1,North America,NA,United States,USA,Abbeville,AL,Alabama,31.5664,-85.2527,2567,C,50
1,North America,NA,United States,USA,Adamsville,AL,Alabama,33.6063,-86.9745,4347,C,50
1,North America,NA,United States,USA,Alabaster,AL,Alabama,33.2197,-86.8225,33202,C,50
1,North America,NA,United States,USA,Albertville,AL,Alabama,34.2631,-86.2106,37220,C,50
1,North America,NA,United States,USA,Alexander City,AL,Alabama,32.9242,-85.9361,9222,C,50
1,North America,NA,United States,USA,Aliceville,AL,Alabama,33.1237,-88.1594,2335,C,50
1,North America,NA,United States,USA,Andalusia,AL,Alabama,31.3101,-86.4781,6486,C,50
1,North America,NA,United States,USA,Anniston,AL,Alabama,33.6713,-85.8136,75169,C,50
1,North America,NA,United States,USA,Arab,AL,Alabama,34.3308,-86.499,8244,C,50
1,North America,NA,United States,USA,Ardmore,AL,Alabama,34.9847,-86.8373,1398,C,50
1,North America,NA,United States,USA,Argo,AL,Alabama,33.6962,-86.5066,4268,C,50
1,North America,NA,United States,USA,Ashford,AL,Alabama,31.1859,-85.2363,2144,C,50
1,North America,NA,United States,USA,Ashland,AL,Alabama,33.2704,-85.8337,1932,C,50
1,North America,NA,United States,USA,Ashville,AL,Alabama,33.8331,-86.2698,2291,C,50
1,North America,NA,United States,USA,Athens,AL,Alabama,34.7847,-86.951,29192,C,50
1,North America,NA,United States,USA,Atmore,AL,Alabama,31.0926,-87.4763,6368,C,50
1,North America,NA,United States,USA,Attalla,AL,Alabama,34.0049,-86.104,5827,C,50
1,North America,NA,United States,USA,Auburn,AL,Alabama,32.6084,-85.4897,89577,C,50
1,North America,NA,United States,USA,Bay Minette,AL,Alabama,30.893,-87.7913,8532,C,50
1,North America,NA,United States,USA,Bayou La Batre,AL,Alabama,30.4126,-88.261,2512,C,50
1,North America,NA,United States,USA,Bear Creek,AL,Alabama,34.2651,-87.7164,1042,C,50
1,North America,NA,United States,USA,Berry,AL,Alabama,33.6623,-87.6079,1098,C,50
1,North America,NA,United States,USA,Bessemer,AL,Alabama,33.3709,-86.9714,26386,C,50
1,North America,NA,United States,USA,Birmingham,AL,Alabama,33.5276,-86.7988,744189,C,50
1,North America,NA,United States,USA,Blountsville,AL,Alabama,34.0814,-86.5867,1670,C,50
1,North America,NA,United States,USA,Boaz,AL,Alabama,34.1985,-86.1529,9652,C,50
1,North America,NA,United States,USA,Brent,AL,Alabama,32.9421,-87.1753,5432,C,50
1,North America,NA,United States,USA,Brewton,AL,Alabama,31.1111,-87.0737,6648,C,50
1,North America,NA,United States,USA,Bridgeport,AL,Alabama,34.9495,-85.7243,2312,C,50
1,North America,NA,United States,USA,Brighton,AL,Alabama,33.4393,-86.9454,2801,C,50
1,North America,NA,United States,USA,Brookside,AL,Alabama,33.638,-86.9014,1329,C,50
1,North America,NA,United States,USA,Brookwood,AL,Alabama,33.2398,-87.3277,1857,C,50
1,North America,NA,United States,USA,Brundidge,AL,Alabama,31.7182,-85.8177,1952,C,50
1,North America,NA,United States,USA,Butler,AL,Alabama,32.0951,-88.214,1738,C,50
1,North America,NA,United States,USA,Calera,AL,Alabama,33.1249,-86.745,13979,C,50
1,North America,NA,United States,USA,Camden,AL,Alabama,32.0007,-87.2967,1845,C,50
1,North America,NA,United States,USA,Carbon Hill,AL,Alabama,33.8944,-87.5224,1928,C,50
1,North America,NA,United States,USA,Cedar Bluff,AL,Alabama,34.2215,-85.5887,1798,C,50
1,North America,NA,United States,USA,Center Point,AL,Alabama,33.6447,-86.6851,16313,C,50
1,North America,NA,United States,USA,Centre,AL,Alabama,34.1553,-85.6707,3716,C,50
1,North America,NA,United States,USA,Centreville,AL,Alabama,32.9597,-87.1334,2680,C,50
1,North America,NA,United States,USA,Chatom,AL,Alabama,31.4691,-88.246,1211,C,50
1,North America,NA,United States,USA,Chelsea,AL,Alabama,33.3256,-86.6303,13011,C,50
1,North America,NA,United States,USA,Cherokee,AL,Alabama,34.7577,-87.967,1005,C,50
1,North America,NA,United States,USA,Chickasaw,AL,Alabama,30.7715,-88.0794,5794,C,50
1,North America,NA,United States,USA,Childersburg,AL,Alabama,33.296,-86.3457,4905,C,50
1,North America,NA,United States,USA,Citronelle,AL,Alabama,31.0952,-88.2467,3900,C,50
1,North America,NA,United States,USA,Clanton,AL,Alabama,32.8439,-86.623,5876,C,50
1,North America,NA,United States,USA,Clay,AL,Alabama,33.698,-86.6067,9599,C,50
1,North America,NA,United States,USA,Clayton,AL,Alabama,31.8822,-85.4604,2871,C,50
1,North America,NA,United States,USA,Cleveland,AL,Alabama,33.9965,-86.5671,1308,C,50
1,North America,NA,United States,USA,Clio,AL,Alabama,31.7085,-85.6109,1476,C,50
1,North America,NA,United States,USA,Coaling,AL,Alabama,33.1642,-87.3534,1660,C,50
1,North America,NA,United States,USA,Collinsville,AL,Alabama,34.2669,-85.8653,1969,C,50
1,North America,NA,United States,USA,Columbiana,AL,Alabama,33.1931,-86.6115,2925,C,50
1,North America,NA,United States,USA,Coosada,AL,Alabama,32.4979,-86.3282,1283,C,50
1,North America,NA,United States,USA,Cordova,AL,Alabama,33.7613,-87.1925,1957,C,50
1,North America,NA,United States,USA,Cottonwood,AL,Alabama,31.0549,-85.301,1256,C,50
